Алия 5, Вайикра 8:14-8:21
Алия 6, Вайикра 8:22-8:29
Алия 7, Вайикра 8:30-8:36
Мафтир, Вайикра 8:33-8:36

Шмини, Вайикра 9:1-11:47
Алия 1, Вайикра 9:1-9:16
Алия 2, Вайикра 9:17-9:23
Алия 3, Вайикра 9:24-10:11
Алия 4, Вайикра 10:12-10:15
Алия 5, Вайикра 10:16-10:20
Алия 6, Вайикра 11:1-11:32
Алия 7, Вайикра 11:33-11:47
Мафтир, Вайикра 11:45-11:47

Тазриа, Вайикра 12:1-13:59
Алия 1, Вайикра 12:1-13:5
Алия 2, Вайикра 13:6-13:17
Алия 3, Вайикра 13:18-13:23
Алия 4, Вайикра 13:24-13:28
Алия 5, Вайикра 13:29-13:39
Алия 6, Вайикра 13:40-13:54
Алия 7, Вайикра 13:55-13:59
Мафтир, Вайикра 13:57-13:59

Мецора, Вайикра 14:1-15:33
Алия 1, Вайикра 14:1-14:12
Алия 2, Вайикра 14:13-14:20
Алия 3, Вайикра 14:21-14:32
Алия 4, Вайикра 14:33-14:53
Алия 5, Вайикра 14:54-15:15
Алия 6, Вайикра 15:16-15:28
Алия 7, Вайикра 15:29-15:33
Мафтир, Вайикра 15:31-15:33

Ахарэй, Вайикра 16:1-18:30
Алия 1, Вайикра 16:1-16:17
Алия 2, Вайикра 16:18-16:24
Алия 3, Вайикра 16:25-16:34
Алия 4, Вайикра 17:1-17:7
Алия 5, Вайикра 17:8-18:5
Алия 6, Вайикра 18:6-18:21
Алия 7, Вайикра 18:22-18:30
Мафтир, Вайикра 18:28-18:30

Кдошим, Вайикра 19:1-20:27
Алия 1, Вайикра 19:1-19:14
Алия 2, Вайикра 19:15-19:22
Алия 3, Вайикра 19:23-19:32
Алия 4, Вайикра 19:33-19:37
Алия 5, Вайикра 20:1-20:7
Алия 6, Вайикра 20:8-20:22
Алия 7, Вайикра 20:23-20:27
Мафтир, Вайикра 20:25-20:27

Эмор, Вайикра 21:1-24:23
Алия 1, Вайикра 21:1-21:15
Алия 2, Вайикра 21:16-22:16
Алия 3, Вайикра 22:17-22:33
Алия 4, Вайикра 23:1-23:22
Алия 5, Вайикра 23:23-23:32
Алия 6, Вайикра 23:33-23:44
Алия 7, Вайикра 24:1-24:23
Мафтир, Вайикра 24:21-24:23

Бэар, Вайикра 25:1-26:2
Алия 1, Вайикра 25:1-25:13
Алия 2, Вайикра 25:14-25:18
Алия 3, Вайикра 25:19-25:24
Алия 4, Вайикра 25:25-25:28
Алия 5, Вайикра 25:29-25:38
Алия 6, Вайикра 25:39-25:46
Алия 7, Вайикра 25:47-26:2
Мафтир, Вайикра 25:55-26:2

Бэхукотай, Вайикра 26:3-27:34
Алия 1, Вайикра 26:3-26:5
Алия 2, Вайикра 26:6-26:9
Алия 3, Вайикра 26:10-26:46
Алия 4, Вайикра 27:1-27:15
Алия 5, Вайикра 27:16-27:21
Алия 6, Вайикра 27:22-27:28
Алия 7, Вайикра 27:29-27:34
Мафтир, Вайикра 27:32-27:34

Бэмидбар, Бэмидбар 1:1-4:20
Алия 1, Бэмидбар 1:1-1:19
Алия 2, Бэмидбар 1:20-1:54
Алия 3, Бэмидбар 2:1-2:34
Алия 4, Бэмидбар 3:1-3:13
Алия 5, Бэмидбар 3:14-3:39
Алия 6, Бэмидбар 3:40-3:51
Алия 7, Бэмидбар 4:1-4:20
Мафтир, Бэмидбар 4:17-4:20

Насо, Бэмидбар 4:21-7:89
Алия 1, Бэмидбар 4:21-4:37
Алия 2, Бэмидбар 4:38-4:49
Алия 3, Бэмидбар 5:1-5:10
Алия 4, Бэмидбар 5:11-6:27
Алия 5, Бэмидбар 7:1-7:41
Алия 6, Бэмидбар 7:42-7:71
Алия 7, Бэмидбар 7:72-7:89
Мафтир, Бэмидбар 7:87-7:89

Бэаалотха, Бэмидбар 8:1-12:16
Алия 1, Бэмидбар 8:1-8:14
Алия 2, Бэмидбар 8:15-8:26
Алия 3, Бэмидбар 9:1-9:14
Алия 4, Бэмидбар 9:15-10:10
Алия 5, Бэмидбар 10:11-10:34
Алия 6, Бэмидбар 10:35-11:29
Алия 7, Бэмидбар 11:30-12:16
Мафтир, Бэмидбар 12:14-12:16

Шлах, Бэмидбар 13:1-15:41
Алия 1, Бэмидбар 13:1-13:20
Алия 2, Бэмидбар 13:21-14:7
Алия 3, Бэмидбар 14:8-14:25
Алия 4, Бэмидбар 14:26-15:7
Алия 5, Бэмидбар 15:8-15:16
Алия 6, Бэмидбар 15:17-15:26
Алия 7, Бэмидбар 15:27-15:41
Мафтир, Бэмидбар 15:37-15:41

Корах, Бэмидбар 16:1-18:32
Алия 1, Бэмидбар 16:1-16:13
Алия 2, Бэмидбар 16:14-16:19
Алия 3, Бэмидбар 16:20-17:8
Алия 4, Бэмидбар 17:9-17:15
Алия 5, Бэмидбар 17:16-17:24
Алия 6, Бэмидбар 17:25-18:20
Алия 7, Бэмидбар 18:21-18:32
Мафтир, Бэмидбар 18:30-18:32

Хукат, Бэмидбар 19:1-22:1
Алия 1, Бэмидбар 19:1-19:17
Алия 2, Бэмидбар 19:18-20:6
Алия 3, Бэмидбар 20:7-20:13
Алия 4, Бэмидбар 20:14-20:21
Алия 5, Бэмидбар 20:22-21:9
Алия 6, Бэмидбар 21:10-21:20
Алия 7, Бэмидбар 21:21-22:1
Мафтир, Бэмидбар 21:34-22:1

Балак, Бэмидбар 22:2-25:9
Алия 1, Бэмидбар 22:2-22:12
Алия 2, Бэмидбар 22:13-22:20
Алия 3, Бэмидбар 22:21-22:38
Алия 4, Бэмидбар 22:39-23:12
Алия 5, Бэмидбар 23:13-23:26
Алия 6, Бэмидбар 23:27-24:13
