Aliyah 6, Shemot 40:17-40:27
Aliyah 7, Shemot 40:28-40:38
Maftir, Shemot 40:34-40:38

Vayikra, Vayikra 1:1-5:26
Aliyah 1, Vayikra 1:1-1:13
Aliyah 2, Vayikra 1:14-2:6
Aliyah 3, Vayikra 2:7-2:16
Aliyah 4, Vayikra 3:1-3:17
Aliyah 5, Vayikra 4:1-4:26
Aliyah 6, Vayikra 4:27-5:10
Aliyah 7, Vayikra 5:11-5:26
Maftir, Vayikra 5:24-5:26

Tzav, Vayikra 6:1-8:36
Aliyah 1, Vayikra 6:1-6:11
Aliyah 2, Vayikra 6:12-7:10
Aliyah 3, Vayikra 7:11-7:38
Aliyah 4, Vayikra 8:1-8:13
Aliyah 5, Vayikra 8:14-8:21
Aliyah 6, Vayikra 8:22-8:29
Aliyah 7, Vayikra 8:30-8:36
Maftir, Vayikra 8:33-8:36

Shemini, Vayikra 9:1-11:47
Aliyah 1, Vayikra 9:1-9:16
Aliyah 2, Vayikra 9:17-9:23
Aliyah 3, Vayikra 9:24-10:11
Aliyah 4, Vayikra 10:12-10:15
Aliyah 5, Vayikra 10:16-10:20
Aliyah 6, Vayikra 11:1-11:32
Aliyah 7, Vayikra 11:33-11:47
Maftir, Vayikra 11:45-11:47

Tazria, Vayikra 12:1-13:59
Aliyah 1, Vayikra 12:1-13:5
Aliyah 2, Vayikra 13:6-13:17
Aliyah 3, Vayikra 13:18-13:23
Aliyah 4, Vayikra 13:24-13:28
Aliyah 5, Vayikra 13:29-13:39
Aliyah 6, Vayikra 13:40-13:54
Aliyah 7, Vayikra 13:55-13:59
Maftir, Vayikra 13:57-13:59

Metzora, Vayikra 14:1-15:33
Aliyah 1, Vayikra 14:1-14:12
Aliyah 2, Vayikra 14:13-14:20
Aliyah 3, Vayikra 14:21-14:32
Aliyah 4, Vayikra 14:33-14:53
Aliyah 5, Vayikra 14:54-15:15
Aliyah 6, Vayikra 15:16-15:28
Aliyah 7, Vayikra 15:29-15:33
Maftir, Vayikra 15:31-15:33

Achrei Mot, Vayikra 16:1-18:30
Aliyah 1, Vayikra 16:1-16:17
Aliyah 2, Vayikra 16:18-16:24
Aliyah 3, Vayikra 16:25-16:34
Aliyah 4, Vayikra 17:1-17:7
